,text,label,target
0,অবিশ^াস্য কিন্তু সত্য। প্রাচীনকালে হিন্দু মালাউনরা গোমাংস খেত। ,Hateful,1
1,"আজ বিশ^ হাড়কিপটা দিবস, উইশ করুন আপনার সেই কিপ্টা বন্ধুকে। ",Neutral,0
2,চীনকে চিনে নিতে ৭২ ঘন্টা সময় চায় ভারত। ,Hateful,1
3,"আমারে নিবা মাঝি লগে? ব্রীজ হইছে, ব্রীজ দিয়া যা।  ",Neutral,0
4,বাম আর নাস্তিক আজ আওয়ামীলীগের পিঠে সওয়ার হয়েছে। ,Hateful,1
5,"রাত ১০ টায় যখন বন্ধুদের সাথে ব্যাডমিন্টন খেলতে নামি, জানি শীতের চোদনে খেলতে পারবো না তারপরেও একটা শেষ চেষ্টা করবো। ",Hateful,1
6,"যতই রাজা ভয় দেখাক, মানছিনা আর স্বৈরাচার।",Hateful,1
7,ভারতের এই গোপন শক্তির ভয়ে কাঁপছে চীন। কারোর কাছে নেই এর বিকল্প। ,Hateful,1
8,পুলিশের পেদানিতে এক এক করে সব খুলে বলর দিহান। ,Hateful,1
9,ও মা! এ যে দেখি পুরাই নায়িকা গো। ,Neutral,0
10,"হ জানি, তোর বাপরে শিকাইসনা বেরা।",Hateful,1
11,"যখন বড় ভাইয়ের ডায়াল লিস্টে দেখি স্যার এর নম্বর তখন আমি, আকাশ ভড়া তারা হোগা মারা সারা। ",Hateful,1
12,"পাগলিটাও মা হয়েছে, বাবা হয়নি কেউ। ",Hateful,1
13,"গিয়ে স্যারকে বলে দেখ, নম্বর বাড়ায়া দিতে পারে। যাওয়া ঠিক হবেনা, কমায়েও দিতে পারে। ",Neutral,0
14,"গাছের জীবন লতা পাতা, মাছের জীবন পানি।  ছেলেদের জীবন টাকা পয়সা, মেয়েদের জীবন স্বামী। ",Neutral,0
15,"জানি ধ্বংস হয়ে যাবো, তাও একটা শেষ চেষ্টা করবো। ",Neutral,0
16,মঙ্গল শোভাযাত্রা সবার ওপর চাপিয়ে দেয়া হচ্ছে এটা ইসলাম ও বাঙালি সংস্কৃতির পরিপন্থি।,Hateful,1
17,বাংলা সিরিয়াল কুমারী মেয়েদের বিয়ের জয়েন্টের কোচিং। ,Neutral,0
18,"যখন কেউ বলে অস্ত্রের চাইতে কলম বড়, তখন অস্ত্রধারী বলে, আসেন ভাই টেস্ট কইরা দেখি। ",Hateful,1
19,ওয়ান টু তে খালাস কইরা দিমু।  তোদের আর আমি বেচে থাকতে দিব না। ,Hateful,1
20,"শীতে মারে শুকিয়ে, বর্ষায় মারে চুবিয়ে। গজলডোবা ব্যারেজের সব গেট খুলে দিয়েছে ভারত, বন্যা পরিস্থিতির মারাত্মক অবনতি।",Hateful,1
21,ফার্স্ট টাইম টানা ৪/৫ ঘন্টা বাসে জার্নি করার পর আমি । ,Neutral,0
22,ঘর জামাই হতে চাই। যে সকল শর্ত সমূহ প্রযোজ্য তা এখানেই লেখা আছে। ,Neutral,0
23,খেলাধুলা পারো? নাকি প্রথমেই নেমে আউট হয়ে যাবা? ,Neutral,0
24,"পাশের বাসায় অয়ন ভাই অফিস যাওয়ার সময় রোজ তার বউকে কিস করে,আর তুমি? আচ্ছা আমি ও কাল থেকে করে যাবো, পরের দিন। ",Neutral,0
25,অন্যের সুখ নাকি দেখতে পারেন না। আজবতো তুমি কেমনে জানো? ,Neutral,0
26,এ কেমন তথ্য বেরিয়ে এলো? দিহান এর আগোও অনেক মেয়েকে বাসায় নিয়ে আসতো। ,Hateful,1
27,খুনি জিয়ার তত্ত্বাবধানে সংগঠিত জেল হত্যাকান্ড। খুনিদের পুরস্কার হিসেবে পাঠানো হয় বিভিন্ত দূতাবাসে চাকরিতে।,Hateful,1
28,মিম এই ৫০০ টাকা তোমার ও আমার বিয়ের দেনমোহর।,Neutral,0
29,বুর্জ খলিফা সম্পর্কে অজানা ইতিহাস। ,Neutral,0
30,"ওজন যত, ছাড় তত! এই লোকরে তো শুধু ছাড় দিলে হবে না, অতিরিক্ত টাকা ফেরত দেয়া লাগবে। ",Neutral,0
31,আমার হোগা মারা শ্যাষ। আমার সর্বনাশ হইয়া গেছে। আমি এখন কি করমু? ,Hateful,1
32,"যখন বাবা ফোন দেয় আর আমি বলি বাবা ফোন দিয়েছে আওয়াজ করিস না, তখন আমার বন্ধুদের অবস্থা। ",Neutral,0
33,আহেন এইকানে বইয়া না থাইকা আমরা একলগে ভিক্ষা করি।,Hateful,1
34,আপনার বেষ্টির ভবিষ্যৎ। কি মনে হয় আপনাদের? ,Neutral,0
35,"বাবু একটা কবিতা শোনাও তো, আমগাছ- জামগাছ মেয়েরা সব চাপাবাজ। ",Neutral,0
36,দেশের কেসিনো পরিস্থিতি নিয়ে আলোচনায় বসেছেন দেশের শীর্ষ চার নেতা। ,Neutral,0
37,"অসৎ কাঠুরে যখন বলে সোনার কুড়ালটি তার, তখন জলপরী। ",Neutral,0
38,"শেখ হাসিনার পদত্যাগ চাই, এই মাগি দেশটার বারটা বাজাইছে। ",Hateful,1
39,ইহুদীদের পণ্য বর্জনের মাধ্যমে জেহাদে শরিক হোন।,Hateful,1
40,আমি চিৎকার করে কাঁদিতে চাহিয়া করিতে পারিনি চিৎকার। ,Neutral,0
41,"জেমস এর নগর বাউল, এটি একটি গানের সিডি। ",Neutral,0
42,অন্যের ফোনের সব কিছু হ্যাক করুন নাম্বার ছাড়া। ,Hateful,1
43,সে কোথায়? যার জন্য আজ আমি সিঙ্গেল। ,Neutral,0
