,text,label,target
0,রাত ১ টা নাগাদ ছাদে উঠে গ্রিলের তালা ভেঙে ঘরে ঢুকে ঘরের দরজা ঠুকতে থাকে। ,Hateful,1
1,"বিকৃত স্টাইলে ধর্ষণের কারনে মারা গেছে, মাস্টারমাইন্ড স্কুলের ছাত্রী আনুশকা নুর আমিন। ",Hateful,1
2,ভারতের তারা টিভিতে বাংলাদেশের জাতীয় পতাকা পদদলিত। ,Hateful,1
3,৫ বছর আগের জীবনানন্দ দাস চত্বর আর এখনকার জীবনানন্দদাস চত্বর। ,Neutral,0
4,গাড়িতে উঠার পর গাড়ির ঝাকুনীর সাথে দেড় ফুট উঁচুতে উঠে যাওয়া প্রাণীগুলোর নাম চিকন মানুষ। ,Neutral,0
5,যেখানে হিন্দু পাও হত্যা করো। হিন্দুদের আস্তানা শেষ করতে হবে। ,Hateful,1
6,একদিন হঠাৎ করে আই মিস ইউ চলে গেলো তাহলে ঘরে কে থাকলো? ,Neutral,0
7,জীবনে কারো জন্য হাত না কাটা আমি। কখনোই আমি হাত কাটিনি।,Neutral,0
8,বাংলাদেশ সীমান্তে নিরীহ মানুষ হত্যার প্রতিবাদে কালো পতাকা দিবস। ,Hateful,1
9,গাঁজা খেয়ে ব্যাট করতে নামবেন না। ,Hateful,1
10,"মেয়েদের গোল গোল, ছেলেদের লম্বা জিনিসটা কি বলতো? ",Neutral,0
11,"ব্রেকাপের চেয়ে কষ্ট আর কিছুই হতে পারে না, এ বছর আমাদের ব্যাডমিন্টন মাঠ নেই। ",Neutral,0
12,দশ বছরে বিএসএফের গুলিতে ৩ শতাধিক বাংলাদেশি নিহত। ,Hateful,1
13,আমার বেষ্টি কোথাও যাওয়ার আগে আর ঘুম থেকে উঠার পরে। ,Neutral,0
14,"যখন কেউ জিজ্ঞেস করে,স্কুল, কলেজ, ভার্সিটি সব তো শেষ করে ফেললে কিন্তু তোমার বন্ধু নেই কেনো?",Neutral,0
15,"আমরা মানুষ বলে এখানে থাকি, জানোয়ার হলে এখানে থাকতাম। ",Neutral,0
16,সাব্বির নামের ছেলেদের জন্মই হয়েছে কাজের মেয়েদের সাথে প্রেম করার জন্য। ,Neutral,0
17,যখন তুমি সব গুছিয়ে আরামে বিছানায় শুয়ে পড়ো কিন্তু বাতিই অফ করতে ভুলে যাও। ,Neutral,0
18,"আমার সাথে কি হইছে জানতে পারার পর আমার ছোট ভাই, কি দাদা কি খবর? ",Neutral,0
19,বিএনপির আন্দোলনের ঈদটা ঠিক করে আসবে? ,Hateful,1
20,"প্রিয়! হয় ভালোবাসো না হয় ঘৃণা করো, মাঝামাঝি রেখো না। ",Neutral,0
21,"আনুশকাকে ধর্ষন পুর্বপরিকল্পিত, জিঙ্গাসাবাদে দিহান। ",Hateful,1
22,"মাঝি পেঁয়াজ আনছো? পেয়াজ, কাচামরিচ দিয়া পান্তা খামু। না কপিলা ঐগুলা বড়লোকের খাবার। আমরা তো কাচ্ছি খামু। ",Neutral,0
23,৩ দিন না খেয়ে থাকুন সমাজ আপনাকে দেখবে না। ১ দিন অন্যায় করেন সমাজ আপনাকে নিয়ে বিচার বসাবে। ,Neutral,0
24,"বাবা মার পছন্দ করা বউ, আর প্রেম করে বিয়ে করা বউ। ",Neutral,0
25,"আনুশকার দাফন, তারপর কি হলো? ",Hateful,1
26,"তুই সবকিছুতে খালি মোবাইল মোবাইল করছ, যেইডা আমার দিতে মন চায়না। ",Neutral,0
27,ঐদিন রুমে আনুশকার সাথে যা যা করেছিল জানালো দিহান। ,Hateful,1
28,সাত খুন নয় পুরো বাংলাদেশকে হত্যা করলেও আমাকেও কেউ ক্ষমতা থেকে নামাতে পারবে না- মায়া। ,Hateful,1
29,যখন তুমি টানা ৯ বার মারার পর ১০ তম বার তোমার ঝুনঝুনিতে হাত দাও। ,Neutral,0
30,পাছাডা ধ্বংস কইরা লাইছিরে ভাই।,Hateful,1
31,এ হায়েনাগুলো কোন মাদ্রাসার ছাত্রদের ছবি বলবেন কি? ,Hateful,1
