label,text,target,pred,tensor
Geopolitical,ভারতের পক্খে আপনি জান আমরা নাই,3,3,"tensor([1.8085e-03, 4.7857e-04, 1.9400e-03, 9.9546e-01, 3.1365e-04],
       device='cuda:0')"
Religious,সরকার ধর্মদ্রোহী নাস্তিকদের বিরুদ্ধে ব্যবস্থা না নিয়ে ধর্মীয় মূল্যবোধে বিশ্বাসী আমারদেশ পত্রিকার বিরুদ্ধে ব্যবস্থা নিচ্ছে ,2,2,"tensor([1.7524e-03, 9.7008e-04, 9.9662e-01, 5.3815e-04, 1.1959e-04],
       device='cuda:0')"
Gender abusive,"আহহ উহহ,কতো বড় বড় দুধ খালি ঝোকে মনে হয় ধরি ",4,0,"tensor([9.6091e-01, 5.1598e-04, 9.2009e-05, 1.1280e-03, 3.7352e-02],
       device='cuda:0')"
Geopolitical,ভারতের কাশ্মীরে রোহিঙ্গাদের একটি বস্তিতে আগুন জন নিহত,3,3,"tensor([2.7517e-04, 1.2240e-04, 2.6048e-03, 9.9686e-01, 1.3846e-04],
       device='cuda:0')"
Personal,সাজুএই প্রশ্ন্যটা তোর মাকেও বোনদের করিস তো দিক উত্তর পাবি-কারন একই চলিত ভাষা হবে। ,0,0,"tensor([0.8639, 0.0021, 0.0020, 0.0068, 0.1252], device='cuda:0')"
Political, এখন আওয়ামিলীগ যাকে ইচ্ছা তাকেই রাজাকার বানাতে পারবে কারন রাজাকারের টিকিটের এখন তাদের হাতে ,1,1,"tensor([5.1906e-04, 9.9517e-01, 3.5282e-04, 3.7199e-03, 2.4314e-04],
       device='cuda:0')"
Religious,আপনি ইসলাম সমন্ধে বলুন আর পোদে দম থাকলে আসিফ মহিনউদ্দিনের নাস্তিক্য.,2,2,"tensor([1.4834e-03, 4.1308e-04, 9.9747e-01, 5.3219e-04, 1.0108e-04],
       device='cuda:0')"
Personal,তথ্য ও যোগাযোগ প্রযুক্তি ব্যবহার করে গোপন কাজ সাড়ল ছেলেটি,0,0,"tensor([0.8684, 0.0034, 0.0014, 0.1200, 0.0068], device='cuda:0')"
Religious,আপনি তো এখন মুসলমান হয়েছেন তো যারা পুজো করে দুর্গাপুজো কালীপুজো ইত্যাদি তো আপনি যান প্রত্যেকটা হিন্দুকে তাদের কাছে গিয়ে হাতে হাত দিয়ে কালেমার দাওয়াত টা দেন,2,2,"tensor([8.3617e-03, 3.8654e-04, 9.8978e-01, 4.4138e-04, 1.0328e-03],
       device='cuda:0')"
Gender abusive,"ওদের মৃত্যু দন্ড দেওয়া ভুল হয়েছে, খানকির বাচ্ছা দের, সারা জীবন কস্ট দেওয়া উচিৎ ছিল ?",4,0,"tensor([9.6691e-01, 2.1802e-03, 1.4202e-04, 1.6742e-03, 2.9090e-02],
       device='cuda:0')"
